的	白勺
𨀎	足立
𢺍	扌艸巛囟釆
𪵰	水弓丨
𡃔	口扌一火日小
𪆥	鳥穴牛口
𬦋	走水丶
𬲂	几二亼月刀
𤬀	瓜余
𡃒	口扌业大
𫀵	禾宀一亡
𢲱	手甘冄
挕	扌耳
𫔬	一力門
𣅗	日己
𣻂	水扌斤口
𥋽	目四卜日十
𢲩	扌糸及
𧒊	虫矢口日
𨐷	辛言乍
𣻕	水麻
𧘇	衤
𫭻	土己心
𢹌	扌辵尸水牛
𠼽	口爪見
𬑫	目末弓八甲一
𫹄	皮彐
𬩛	文寸辵豕
𩷳	魚尸毛
𤃡	水匕禾頁
𫕲	雨辵亼月刀
𤷵	疒土皮
𦞢	月圍豕
𠸢	口畐
𧸰	貝車巠
𡮲	小言土寸
𡳀	尸毛𠂊厂卩
𨄊	足肉又示
𪿽	石朱亼冊
𢰳	扌西女
𱚹	尺且
𫕨	雨厶大彡
𤷍	疒其
𡂯	文口良月
𪬼	分心二又貝
𢂌	巾人弋
𨘱	辵束𠂊尹
尙	尚
𢺀	扌言艸日大
䘹	衤卒
𤠚	犬丰糸
𦄶	糸口艸介
𠻵	口艸犬廾
𠹗	口扌斤口
嘑	口虎爪丁
𬔒	穴水冂八木
𥓶	石夂田
𣼬	水日扌斤
疿	疒弓八
𥔧	石千田土
𬫤	金四十乚
𫻅	心白山及
𤶎	疒朱
𤉔	火人乍
𬍏	亠幺⺍十下
𡂡	口婁攴
胒	月尸匕
𫼻	扌人白
𢫆	扌本
㙮	土竹亼口
𨥧	金丿之
𣇫	日果
堛	土畐
𫘴	骨尸至
𩠱	首辵㠯
𧀜	艸火爪臼
𥢂	禾麻
𢳞	扌耳冄
𬓓	示乚木艮
𠀴	出下
𬠄	虫圍巾
𣦍	宀且正
𩐛	立日瓦
𠲦	口戈𠂇
𥽩	米辵尸水牛
𡋃	土耒
𣞄	末會
𠧍	雨而升
𫇂	尸至月巛囟
㹠	犬屯
𫂮	竹其言己
𣵰	水文口
𪤾	夕十日十月
𩄐	雨阝夂㐄
𫵃	小彐皮
𤍶	火田糸
𦵚	艸女又心
𧍉	虫广氏丶
𠋥	人眉
𠶄	口子丁口
䅘	禾來
𬎳	生木
𥐐	矢豆衣公
𨁰	足口欠
𠾼	口糸𠂊巴
𤑯	火亼口口从刀
𠿒	口日勹亡欠
𠦿	禾尔升
𨗵	辵气土羊
䃣	石爲
㤝	心了儿
粡	米同
𬢞	言竹
𫵛	尺冫寸
𡓎	土行㐄口㐄
𦧷	舌广兼
𩙳	令乙冫非
𦬑	艸女
𨁨	足犬王
𡛔	女一亡
𠄦	二及
𨇷	足禾女鬼
𥫟	竹己
䘆	虫宀丰四心
𬹷	齒宀丁一
𡁼	口水西示
𨁯	足赤
𣌝	日日衣口口甘
㦆	心虎爪丁
𠐞	人三石
忇	心力
𪷞	水艸二又皿
䤵	金非
𣡙	果束𠂊貝
𨙖	辵甬亠幺⺍十
𡫡	宀牛門口
𪡗	口斤欠
𠝫	羊大刀
衴	衤冂儿
𢆕	干八反
𠀫	其丿
𠝔	女厶口刀
𠶈	口衤土
䕱	艸豆頁
𠹾	爪冂又刀口
𤉛	火从土
𪄌	工貝鳥
𩼁	魚者阝
搩	扌舛木
𫺒	心門日
𪩥	巨文口
𢮑	扌彑
𤆷	火化
𧺕	走勺
𨀈	足北
𱓕	口女又弓
湈	水甘木
喡	口㐄口㐄
𥊦	目矛夂力
槯	木山隹
𣙺	木囟八夂
𭋙	口示彑
𣾃	水戌口兀
𠛤	卜口刀
𨇶	足穴白方攴
𨆞	足曲辰
𠁪	壬中
𤹔	疒亠八冂方
𠗸	冫工貝
𤓆	火艸監
𫌗	衤言身寸
𪩮	巴土八夂
𦏒	羊大艸田
𠸗	衤刀古
𠺶	口糸内
𪧡	直宀寸
𠫏	厂禾禾止卒
𥓹	石廾失
𥊙	目囟八夂
𡑩	土鳥衣
苝	艸北
𡳹	尸毛四厶月比
𠲔	口亦
𧶫	貝表
𦽔	艸木木示
𬬐	金千田土方
昛	日巨
橊	木一卯田
𤷭	疒白勺
喎	口咼
𣑷	木小大
𤀙	水口烏
𫖼	几二末
𤾯	白水廿内内
𫽘	扌束力
𠚢	四糸隹出
𨉓	身亼内
𣒲	木宀牛
𫆢	土八夂月
𪛇	龜圍口十回
𬁖	日生宀牛
槈	木辰寸
𦀌	糸女口
𤽵	白扌九力
𦆚	糸鳥衣
𪳌	木土且力
𥆡	目今口
𡎞	土卜貝
𢵱	扌門一廾
𩸱	魚金
𨼋	阝虎业
𬂆	良月竹
𠺽	口乂木殳
𬃈	木爻攴
𠱋	口由
𢹧	扌酉鬼
𫕾	四直非
𫶼	巴辛束
䌑	糸臣又土
䕺	艸业耳又
𩛷	食不口
𫯍	多丁
𣨰	扌丿七歹匕
𥀪	皮亠阝隹
𦨻	舟光
𣀟	巴婁攴
𦆙	糸雨田
𪨀	小出
𬊨	火女又弓
𬔙	冄立
睸	目眉
𠊚	人日一寸
鯜	魚立女
𨎟	車田夂口
𢥉	心艸水昜
㗶	口癶弓殳
𡮹	少艸冃豕
𣠑	木竹辵夂丰
揞	扌立日
𧯄	香谷
𡮛	小水日土
𠟤	善刀
𦲵	艸行正
𫫞	舌今心
搙	扌辰寸
𩆬	雨业冃豕
𠶞	口心生
𡅠	口糸黽
𥺓	米呂
妸	女丁口
𨅸	足竹土寸
𠯼	口人丁
𦘹	月山
𨮶	金水西示
𧍏	虫女古
𨦩	金亡女
𧟁	衤馬并
䀡	目卜口
𧚭	衤并
𤝹	犬朱
𠺸	口水彐冂又
𫤒	人匕頁艸冂木
𩛂	食女又
𡃏	口阝𠂇工月土
𦟒	屯月𠂊厂卩
𩈂	非虫非心
𦄞	糸門口
咘	口布
㧾	扌勿心
𡂱	口癶豆阝
𣜴	木亼月刀心
𤹖	疒車干
𫸐	广黃辵豕
㩇	扌尹二田一
𨑻	辵冂儿
𦵘	艸而女
𪢠	口艸門柬
𣘄	木言丿七
𪶼	水少士口
𥿠	糸布
𫅕	羊厂氏
㹦	犬刀口
𢯰	扌行尹二
𠴊	口呂
𡛤	半女
𣿅	水艸千田土
𪘬	齒厂土土
𫅸	耂女兼
𫥕	冫令甘
𬞑	艸口十冂半
𤍋	言乞火
𪄞	鳥勹屮勹屮
𪟒	㫃矢刀
𫣪	人戶冊少
𬅉	木艸門柬
鮧	魚大弓
喐	口𠂇月阝
𤎓	青彐火
𬹙	真黑
𢲛	扌行走
箻	竹行尹二
𤵡	疒爪丁
𦖑	耳宀且
𡗊	多堯
𦼠	艸門一廾
𬠥	虫王廾心
𬲢	食堯多
𤊠	火石廾
𣇞	日余
𢵧	扌門日
𤑈	火行山王攴
𥿤	糸丘
𫷝	干八人青
啨	口青
𬨿	辵米云
𤾱	白宀心皿丁
𬄯	木其石
𤇦	火戊
𩓜	艸亡頁
杺	木心
𪜀	十乚
𥖑	尸毛石皮
菷	艸彐冂巾
𡓅	土艸阝今云
𥹞	米申丿
鐱	金亼口口从
𤶻	疒見
𡎠	土乃又皿
𬒜	石卜了見
𪬌	心二又皿
𫄺	缶口王
㦃	心立厂生
𡙦	勹屮勹屮大
𪨞	尸婁匚巾
絬	糸舌
𣌺	曲口丩
𡀨	口衤甫
𢩭	扌寸
𡄥	口亼口口从欠
𬐂	癶一十乚士
𨪝	金虎文
𱤔	木艸叕
𡚝	大目目隹
𫁚	穴角斗
𥾵	糸反
𥵙	竹四卜日十
𤲌	王廾田
𠰳	口丙
𪃲	鳥者
𪧺	是寸
𫸎	广黃青
𫢋	人天
𡌠	土人氏丶
𬌌	爿釆田
𫽰	扌亼口日
䐥	月公羽
𤵹	疒士口
𡡇	女羊皿
𧀓	艸尸婁
𧓭	虫糸白巾
𪫢	心卜了
𢵸	扌隹木
𪭄	心宀夂口頁
𡪦	宀水者
𬚿	肉門木
𪺦	爿月廿日
𫦑	羊火刀
𥋕	目欠皿
𠝻	甘匚八刀
䁲	目四貝
𡎜	土十冂半
𣼫	水里予
𠓀	先田夂口
㜮	女監
㦓	心肉犬火
𨓡	辵王廾
𤠄	犬爪丁口
繏	糸巳巳艸廾
𫔦	午門一廾
𧾿	足了
𦁼	糸木攴
𪮀	手阝一兀
𢤽	心臼同廾
𤎍	火圍戈口一
𫤕	人匕頁西示
㾄	疒由
𢢆	心善
𧑒	虫京子攴
𫏄	足甘
斍	文見
𣑎	來下
𬘏	糸火堯
𨅂	足不見
𪴽	不正女少
𨅷	足阝八豕
樶	木日耳又
𢢇	心日耳又
𩩩	骨表
𨇸	足竹旡旡日
𬆸	母亠回示
𡨸	宀丁宀子
𨆸	足厂白小心
𠏦	人勿京丁
𤏫	火竹尹二
𣾸	水扌是
𫸍	广黃卜日十
𧉙	虫屯
𬨺	辵車上
𨼼	阝丁口爪子乚
𪹏	火羊大
㴷	水耳冂儿
𥯓	竹甘匚八
𪰛	土寸日
𫹭	乃心
柉	木丿之
𪐢	黑士
𣞾	木艸婁
𫕸	青竹
𢜡	心立女
𫩓	口丿几
𨫇	金朕
𦹻	艸水爪壬
𢘽	心申丿
𢶒	扌會
㤥	心亥
𢠯	心良月
𡍜	土門
𫃡	糸立
𨃌	足扌土寸
𡂄	口皮頁
𣻽	水月巠
𤶹	疒尸㇕口
𦠱	月竹人戈
𩍓	革亠阝隹
𡻖	山口貝
唩	口禾女
𫦘	𠂊四八夂刀
𢗖	心壬
䋖	糸尹二
𢙫	心圍大
𥻙	米羊大
𫲬	乃子者
𥋼	目亼一乂凵禸
𥙒	示乚去
㗂	口少目
𠱇	口穴
𪝩	人羊圍巾
𠅳	亡口貝
㘓	口門柬
𨧠	金月干
𢞆	心立厂彡
𪮏	手田心
𥋔	目山一王攴
𪷧	水尹口羊
𫭚	土小
𬦹	足夂木
𫆶	卜日十戶月
𤇣	火生
䁐	目艸冂大
𦝬	月穴犬
𦞓	月水𠂆从
䰼	魚今
𨮻	金广里八土
𬍉	犬勹口爻攴
𠿮	口食欠
𫭕	亼冊圍口貝
𫛕	穴牛口鳥
𠹵	口日宀女
𥛭	示乚隹又
𧙼	衤厂止
𣑺	木虫
𥼕	米竹立
𡡅	女鳥
㳝	水人壬
𡅩	口曲豆𠂊巴
𢞂	心分皿
𬨟	辵分
𥽇	米戌口心
栣	木人壬
𩅛	雨辵夂丰
𧁹	广車艸古
𡂒	口斤斤貝
𪷗	水月卑
𥆻	目呂
眪	目丙
𤊩	火木木
萻	艸立日
𬂻	木門一廾
𧿑	足弋
𬞁	艸日十口儿
𡉾	土心
𡹟	山木冂儿
𠝓	人多刀
𪩼	巾爲
槶	木圍戈口一
𬆘	歹匕宀女
𧙻	衤尹二
𢭼	扌女少
䗔	虫人龴矢
𩸴	魚矢口
𤺰	疒金欠
𫰄	爪幺大丁口丁口
䐏	月廾日
𧥔	巴角四勹虫
𪟚	夕口力
𣛱	木穴𠂊臼
𨎆	勹屮勹屮車
𠿈	口禾火心
𠥈	匚土欠
𫉱	艸米良
𢭭	扌火土
𢭂	扌宀牛
𥿡	糸尸匕
嘺	口丿大口冂口
藞	艸三石
𲌀	馬糸夂冫
𫿟	扌非爻攴
𡎟	土香
𪦼	子白勺
𫣸	人曾士
𢁋	巴阝土八夂
𪗀	鼻日勹亡欠
𫰤	女米
𧒉	厂豆寸虫
𪟽	卜了
𢙬	心人尹
𪽐	丿田介
𡁤	口門夂口
𫃈	米申丂
鋾	金勹缶
𡮘	甘木少
㖻	口矛木
𬱶	几二幺㇕
𧕬	虫示曲豆
𠸤	口行土寸
𡂈	口人业大
𪢈	𠂆口婁
𱚫	少矢隹
𤌋	火鬼
𢭬	扌人半
𦛽	月口今
𡃳	口臼同廾
𬌣	牛土寸竹
𠉟	人木千
𫽖	扌阝且
𡜤	女土也
𥯝	竹穴犬
𢴕	扌宀一皿丁
侱	人口王
𣢹	耒欠
𠀳	厶人下
𫫹	天口立厂彡
𤔯	爪竹尹二
𣻉	水世冂巾
𫆻	月旨阝一兀
𢫙	扌人弋
𩼷	魚业土寸
𣷱	水人一口乂
𢘬	心𠂉也
𡋿	土呂
𫶻	巴監
𡀫	口亠回禾
𡀤	口竹丰寸
𡚚	大束𠂊貝
𫽅	扌去刀丶
𢵫	扌八酉大
𢬅	扌小大
𥫭	竹女
𬙾	羊大世木
𧸓	貝水者
𡰏	兀水京
煏	火畐
𣛪	木彡頁
𤾓	百木木
𡵺	山勹厶
𫸽	八弓丨丿大申
𪓈	黑艸㠯辛子
𠾺	口善
𩘫	風水每
𪧍	宀一兀下
𪬮	心耳口王
𦟹	月山亼冊
䢦	辵亠幺⺍十
𬛡	月昜西示
𠶉	口人壬几
𨅍	足門日
趂	走尔
𡐮	土爲
𫧇	比
𢪀	扌卜㇕
𩄏	雨風
𬧾	雨田車
𦟼	月門才
𧏷	虫亠幺田
𪀚	鳥戈𠂇
𤚆	牛阝皮
抩	扌冄
𫮢	土辵甬
𢮿	扌千北
𤉚	火口欠
𪮣	扌十又扌斤
𣋩	日辛束
𨑗	辵上
𫲰	刀口子丿糸
𫴐	宀甘八冫甘
𣼳	水幸丮
𧀨	艸巛囟釆
𥍒	目竹戌口心
𪞧	冫令歹
𡁚	口水堇
𧒌	虫足夂口
𪡊	口豸
䒜	艸牛
𪥌	宀人大
𠲓	口夂㐄
𫠹	上厶月比
𬧺	車勹屮勹屮
𠸙	古王廾
𬅽	冫卜了止
㥥	心禺
𣜳	木艸風
𦀋	糸冫水
㭨	木牙阝
𱕷	口三象儿
𠸂	口穴犬
𠱊	口人士
𣳪	水一口乂
𬆜	歹匕石卒
䊟	米廿内内
𨁼	足奔
𪧄	子瓜山鬼
𢩾	扌丮
𤤰	王布
槺	木广尹⺍
𦵗	艸言十
𬰹	立日由
㟴	山鬼
𥆹	目山及
咾	口耂
𫥨	四大出
𫺙	心二牙廾
𬨸	辵乃又皿
𠰷	口卜尸
𬄪	木女甘木
𬮌	文扌門
𢬣	手西
𨃰	足兼
𠞠	刀禾失
𩸰	魚子瓜
𢖱	心乃
𫄑	糸食爪女
𫡇	分中
﨤	辵及
𡮩	門才少
𬃂	木木五
𧋶	虫水殳
𦝺	月羊大
鸜	目目隹鳥
𨶛	門工貝
𩭶	長彡水由
𫊶	虫光
𣮇	吳毛
𫣽	亼口皿門一廾
𫢱	人四十乚
𥯎	竹广卜口
𠴗	口木土
𤻬	疒辛束
𫹣	行一火日小
鍄	金京
𦓿	耒其
𠍵	人羊永
𡾬	山竹馬
𦢞	月魚日
𫑐	辵束戶犬
𤹾	疒日每
慃	心公羽
𤓇	火王𠂊内目夂
𫡾	亡心口月
𬳤	香匚艸𠂇口
𡪜	宀水冂八木
𩙕	日艸廾水風
𧞿	衤厂禾禾止
𠻛	口辵牛口
𬠌	虫冄阝
𪫚	水去行尹二
㙤	土虎爪丁
𥄬	目五
𤉠	水冂儿火
𧤭	巴角刀牛
𫩒	口巾
𥋲	目广兼
𨤔	尸毛爪木
𬥮	堇分貝
𨙝	雨田辵艮
摪	扌爿肉寸
㥬	心亠八冂方
𤍑	火糸夂冫
𩸵	魚行正
𨁮	足文口
𠹰	口貝丿之
𥆿	目求
𪯝	廿月攴水西
鈂	金冂儿
𫵫	尸婁扌比
𨬉	金土隹
𢄩	巾帶
𬳖	首人匕卩
𫁎	穴工子乚
𥈢	目羊大
𨃺	足糸内
𬷨	辰寸鳥
㩱	扌爪四艮寸
𬨙	辛弓八
槩	艮旡木
𫽕	扌亦又
𠋦	人甘木
𬐒	巴皮
𡾭	山广亠回禾
𤵢	疒丘
𢳥	扌辵牛口
𪡝	口艸廾巳
𬋲	爪子乚工从
𫣏	人立申
𠴒	口人令
𥟈	禾束
𩺧	魚火至
𠪸	厂艸世木
𣋇	昜文寸
𪘌	齒一口乂
𬣌	言甘木卯
𣦆	厂止一口乂
𦂁	糸八豕
𩸲	魚人一口乂
𪰰	日土寸竹
𪟸	半亠八冂方
𢴾	扌非心
錩	金昌
𦡯	月辵土羊
𡖼	並多
𠤧	匕扌是
𨒹	辵百
𧍅	人一口乂虫
抺	扌未
𠺕	口卯田
𫒂	尔里
𨰇	金亼口口从欠
𫽹	扌由尹二
𫜶	月京子攴
𠱶	口宀丁一
𫿿	父斤一火日小
𫠳	下亼冊
𣱿	水人
𫴭	彐寸心
𤍌	士尸彐火
𪲣	甘木竹
𪿗	石尸匕
𬌱	犬門才
𧊋	虫申
𫻤	心文厂彡頁
夣	了四冂夕
㹫	犬大弓
𧹥	赤木土
𬐾	甘匚八水欠皿
𱻛	其羽
𫡪	甘木乙
𠵴	口亼口卩
𥐇	矢豆艮
𫼰	扌女口
𣷴	水表
𥑃	石亠卜
𦪏	舟辵甬
𠶂	口爻攴
𢱎	扌手一丰
𢱔	扌分皿
𢏠	弓水工
𫁞	立竹
𪱅	日水者
㳉	水月
𬐉	小彐白
𱔪	口文隹
𥅞	目弋工
𫡮	辵米乙
㯖	木十四一心
𨏧	虎田皿車
𡏥	土扌斤口
𧐺	虫辵甬
𬥠	弋二貝及
𦀾	糸广木
𨅥	足非心
𪨠	尸婁人半
𬌴	犬彐火
𨆟	足艸千田土
𦤮	辵艮自犬
𡔖	土䜌攴
𪯊	丩攴竹
𬋙	火臼同廾
𩸄	魚果
𦙏	月山乙
𨔾	辵者
𪀐	鳥丿之
𬀺	巳日勿
䑅	月艸四冂夕
𬩢	辵戶冊立
𠸡	口水血
䕝	艸禾爪魚
𧓮	王白石虫
𨃎	足二又皿
𨰴	金日衣口口甘
𤃟	水亠阝隹土
鑅	金火火冂木
𤭸	尸并瓦
𬞲	艸虎业一丂
𡔍	土穴士四貝
𪿏	矢豆亼冊
𫻐	工凡心一中彐
𫓟	金口口馬
哣	口豆
𥃛	舟殳皿立日
捈	扌余
𪾯	目斤欠
𱢯	艸世木日
𨤯	千田土同
𬂸	木攴少
𦡋	月屯頁
𠃩	九人彡
𢭯	扌水夬
𤻻	疒艸四戈人
𥵚	竹堇力
𢜏	日月心
㗁	口口口一丂
𫑹	酉來
拞	扌丘
𣍊	日勹亡尺冫
𠓁	光羊永
𪢤	口矢丿大口冂口
𦂺	糸立日
𪽗	尺一田凵
𫼜	手卜口
𣼪	八水戌口
𨻮	阝宀一兀攴
𥌷	目宀丰四心
𪦸	子宀
𣱶	水卜
𧏰	虫耳冂儿
𪥑	大示乃
𨃕	足亠幺田
𡮜	竹丿大小
𡃙	口艸四戈人
𦪻	舟宀艸見丶
𧓅	虫曲辰
𥸝	竹言夫夫貝
𬸼	尸匕鹿
𫋻	衤會
𡅫	口車丿大口冂口
𡳵	尸婁艸丨日
𫀢	示山鬼
𠽮	口扌是
㨐	扌人口木
㘨	土内
𣙯	木土隹
䶞	齒其
漨	水辵夂丰
𪷹	立申水丁口
𣙷	木艸犬廾
𪺓	爪尹人丁
扲	扌今
𤸧	疒宀二日
𫅷	艸人木耂
𫜧	齒宀㇕皿丁
𤁖	水衤果
𬱎	丁頁人立口
𫒥	金亡心
𢵬	手巳巳艸廾
𪰮	日牛巾刀
𫀅	示卜口
𠉜	人尸毛
𨧣	金士冂几
𡀧	口斗田衤
𤂫	水口屮貝
𣆮	日广土
𠽞	口水日比
𣞅	果朕
𨦙	金歹刀
𢴛	扌斤扌十又
𠏟	人亠回禾
𠻁	羊儿司
𥇽	爪子乚目
㶤	火夕
𬏥	疒爪卩
𢢂	心糸士口
𫽤	扌火卜尸
畱	一卯田
𤿤	竹皮
𦉱	四七
𥟊	禾五口
𨂚	足八艸廾
𨰧	金宀龍
𪜘	石皮乙
燫	火广兼
𠘃	冫千田土力
𪯕	方攴人乍
𣌁	日豕者
𣔢	木人多
鸌	鳥艸隹又
𢬇	扌宀寸
𨫉	金日土寸
𪜯	人另
𦘧	尸毛尹二田一
𫬎	舌亠乂凵禸
𱜗	呂巨
𥩯	立乃子
𨄳	足艸甫
𬇋	戶氏
𥊤	目行日一寸
𪱎	日生亼月刀
𠽆	口言内
𬈉	水土𠂆口
㮠	木艸冂木
𠶙	口艸不
𱕫	口亠阝隹瓦
𥊢	直尚
𠲠	口丩攴
𭉷	口示且
𣋛	日艸水夂口
𥗍	石禾丿刀人水
𤹑	疒人今心
㩒	扌木木示
䓡	艸矢口
𧿭	足日
𪡻	艸丨日古
𢴓	扌不見
攑	扌臼牙廾扌
𠿶	口水隹十
𠴙	口扌巴
緓	糸艸冂大
𫏖	足爪二丿又
𨭒	金月穴工
㾑	疒亼口
𧀑	艸禾千田土
𩲥	鬼厶口
䱾	魚婁
𢬹	扌土土乚
𠸔	口艸市
𢫛	扌玉
𦡮	月並日
𪁃	人牛鳥
𨻬	阝自犬
𣞍	木四者
𣃺	方谷
𤒙	人彡京子丮火
𦄷	糸辵甬
𪺬	牛九日
𧁶	艸广四土八土
𡦂	宀子宀子
𧹋	人弋貝爲
𫄁	糸艸日月
𫉕	艸人木力口
𬕺	竹立申竹
𲌬	鬼非
𥺹	米宀夕卩
𥹰	婁𠂊丶
聀	耳戈
𢱚	扌風
𠶣	口木攴
𢝳	水艸廾心
𠴋	口扌九力
𫇈	臣卒
𫻣	心鬼卒
𡍘	土牛巾刀
𥨨	穴工工貝
𥚥	示乚禾刀
𫴶	广十豆寸土寸
𡀭	口臼田力
𫄃	糸京子攴
𩵝	魚才
㦖	心門心
𣨮	歹爪壬
𪫶	今心竹
𠳙	厶口人弋
𤮥	瓦匚三口欠
𦙦	月心
𬗁	西米骨
𣑶	木示乚
𢟙	心金十
𤊡	火廾扌
𥏌	矢先
𤢔	犬日勹亡欠
唭	口其
𤛠	牛婁
𫃋	米金十
𤎕	火釆心
𦀨	糸冄阝
𪝎	人木令
𬚇	戶羽水夬
𡄐	口亠阝隹土
𥉰	目爪臼
𢴊	扌辵豕
𥒥	石多
𩄰	雨歹刀火
𩼈	魚宀米大
㖧	口氏日
𡁽	口木艸人木
𪡱	口耒毛
𡀩	口艸水夂口
𥅲	目朱
𠦯	半艮
𥭎	竹水亡
𢩉	戶艸廾
𫨯	去非心
槹	木白⺍十
𤮘	肉又豆瓦
𦛌	月尹二
𣖠	木艸出
𬌘	牙山我
𢴩	扌竹尹二
䴈	宀米大鳥
𢥣	心竹門月
𨫪	金堇
𪢜	口金甫
𡈈	圍千田土
𣻇	水辵艮
𩩇	了儿骨
𣜶	木辵日勹亡
𤎑	火囟八夂
𬷶	亠回禾鳥
𫆜	肉尸匕
𦛺	月另刀
𥈱	目乃又皿
𬯜	阝丁口艸内
䳱	矛夂力鳥
𫼳	扌艸亡
𫤯	厶大彡八
𫡯	十日十月乙
猉	犬其
𭉑	口阝艮
榡	木丰糸
鑨	金龍
𠁸	中中卒
𫲳	才子尹口羊
𦭪	艸勹乂乚
𡋥	土士口
𡃍	口亼口口从刀
𪃿	丁口丁口鳥
𫰮	女艸戶
𤷿	疒穴犬
𦪂	舟行走
𦀪	糸人白
𫅖	羊大扌口
𣠱	木竹旡旡日
𬓐	示乚厶口心
𠭤	呂反
𣉷	日勿示乚
𣝀	木堇力
㦗	心木木示
𨭏	金月穴工
𬜉	舌田心
𱓱	古衤刀
𧐸	虫用口彡
𬑑	目耂
𬇆	毛堯
𩠳	首木隹
𬮙	門一力
𤡚	犬艮旡
𢵷	扌宀丰口刀
𫰸	女干卯
𠶚	口女丁口
𡁙	口心艮旡
𫮱	其土𠂉㐄
㑫	人今心
𪺛	父缶
𪬙	心水口月
𬏧	疒扌丮
𬚴	肉匚巾
𡑱	土尹口羊
𦢡	尸至人人人月
𣠺	木竹亼口口从
𫣰	人申爪二丿又
𬥔	斤貝匕
𨔿	辵豕十
𫬣	口口犬目少
𠯇	口己
𠦹	十辵豕
𠨪	𠂊厂卩堯
𣿃	水阝禺
𬲠	食亼月刀心
𠸕	口儿幺月
𫡽	文八呂
𣵯	口欠水
𥳂	竹田夂口
萫	艸香
𫸿	弓八甲一丿之
𬉰	水戔曲辰
𤯭	並生
𫑓	辵㠯田夂口
𤣡	犬四勹虫直
𣼺	水囟八夂
𢯏	扌行皮
𫑒	辵束人立口
𩻐	魚囟又八夂
𬠇	虫⺍廾
𥵗	竹立日欠
𥘶	示乚分
𧕃	虫象比象儿丶
𥆄	目光
𧎠	虫儿幺月
𠀗	廿丿
𪽃	生廾扌
𠻤	口寅
𢪯	扌太
炐	火丰
㡴	广立
𥯋	竹日月
𦬶	艸午
𥑭	石巨
𥊟	眉刀丶心
𣡯	四去木幺幺戈人
㩢	扌艸四戈人
𣝉	木业土寸
𬲊	非心乙冫乙冫
𢱛	扌水西
𣙹	束日比
熷	火曾
堒	土日比
𧉝	虫一亡
𩆐	雨亠回禾
𬦮	足耳
𣏾	木戈
𬀫	文日
𠺴	口艸夂口
𦝉	月广氏丶
𪽡	巴釆田
𦩚	舟木攴
㒙	人糸白巾
熑	火兼
𧏴	虫辵㠯
𪮯	扌口耳竹
𫋙	虫弓厶虫
𢫗	手白
𥐨	石也
𠿱	口辵首
𪺵	牛非心
𣞂	木竹彐冂巾
𧺁	宀釆田赤
𢯷	扌㐄口㐄
𫢧	人文口
𩘄	風木攴
唫	口金
𡊱	土刀口
𣉴	日木至
𫊍	艸世木山今
𤂧	水艸辵夂丰
𪂮	子瓜鳥
𪞻	囟吳
𨔉	辵文丰
㵊	水日耳又
𥋟	目羊我
𥖐	石阝八豕
𡃎	口爻木木大
踭	足𠂊尹
𡑴	土尸艸廾殳
𪨝	尸毛香
㐻	人内
𦧃	尸婁艸隹臼
𨔌	辵子瓜
𬟥	束艸白⺍木
𪮽	手斤斤貝
𩹪	魚眉
𫵇	眉尔
𩠠	首會
㭲	木谷
胋	月卜口
𬏗	釆田冫欠
𡳎	尸毛呂
𡆍	口㫃矢魚
怑	心半
𡬈	宀龍下
𢅄	四去布
恑	心𠂊厂卩
𬟴	虫山
𱔩	口八甲一戈
𪝯	人立日一寸
𠬕	去衤甫
恄	心士口
𧜗	衤馬
𦤭	自犬歹刀火
𫆃	丩攴耳
𡀂	口雨田
𬐼	水欠皿去力
𬞺	婁艸丨日
𪟞	田力才
𣈝	日文丰
𩆢	雨田立日
𢏣	弓曲
𪽵	疒子瓜
磾	石口口甲一
𠉞	今尸匕
𠽁	口虎夂几
𡅑	口禺頁
𡆘	口日幺幺火頁
𥢫	禾宀丰口刀
𠴉	口阝一兀
𧃋	艸食余
𠶁	口二扌廾
鈘	金十又
𡴢	屯並
𤢿	犬三石
𥽤	十又米田艸廾
㶥	火干
𫼠	手主
𦙥	月子乚
鑟	金士四貝
𥢐	禾自⺍十
𩅜	雨良月
𨇀	足辵中一㠯
𥀌	皮艸厶口
𬗝	糸甬
𬛀	戶月工
𫿸	人止余斗
𦄵	糸釆心
𧦿	言丙
𪬔	心歹朱
𫨰	非心去
𦞑	月不皿
𫡱	又又二
𫾖	手一丰口貝
𧤥	角虎文
𧀏	艸金了儿
𠧆	䒑艸廾卒
𥷓	竹食爪女
𫳭	宀立申
𥿣	糸工丂
𧋀	虫⺍巛
𠊫	人勹日子
𤶼	疒艸亡
𫵄	艸冂大小
𬒩	石一日乂亠八冂方
𡓟	土束攴正
𬷸	鳥食爪女
𥐦	石己
𥺖	米不口
𬡮	衤爲
搝	扌自犬
𬳠	禾火香
𣌹	曲不一
𦁢	糸長
挸	扌見
𬟣	艸水束刀貝
㗱	口隹木
𬁒	日矛夂力
𢴍	扌寅
𢗸	心斗
𠲿	口束
𩂀	雨干
洅	水再
䗀	虫土八夂
爉	火巛囟釆
𢊑	广𤰇
𣘽	木少象儿
𦰠	艸公廾
𤵴	疒人士
𢥶	心禺鳥
𠻦	口囟八夂
𬓟	亠乂凵禸禾多
𱪁	水艸一火日小
𥏍	矢夕口
𬕾	竹立申目
𡭬	小門才
𢯚	扌爪子乚
劕	斤斤貝刀
𪇩	金艮鳥
𨅽	足門木
㾯	疒田衤
𫏽	立申車
𪫊	一廾彡人廾扌
𤜬	犬山
